alt,dis,fob,gateway_time,lat,lon,posPointName,sAlt,type
152,0,69800,2026-04-29 22:27:52,37.939,23.936,POS,,ACARS
312.42,0,69800,2026-04-29 22:28:03,37.947969444444446,23.944119444444446,POS,-1.0,ADSB
518.1600000000001,0,69800,2026-04-29 22:28:21,37.95743888888889,23.95299722222222,POS,-1.0,ADSB
708.6600000000001,0,69800,2026-04-29 22:28:37,37.96746944444445,23.962408333333332,POS,-1.0,ADSB
967.74,0,69800,2026-04-29 22:28:55,37.980158333333335,23.97389722222222,POS,-1.0,ADSB
1135.38,0,69800,2026-04-29 22:29:11,37.99112777777778,23.983969444444444,POS,-1.0,ADSB
1386.8400000000001,0,69800,2026-04-29 22:29:37,38.0137,24.004658333333335,POS,-1.0,ADSB
1684.02,0,69800,2026-04-29 22:30:01,38.03026944444444,24.020608333333335,POS,-1.0,ADSB
1965.96,0,69800,2026-04-29 22:30:19,38.04025,24.042269444444443,POS,-1.0,ADSB
2255.52,0,69800,2026-04-29 22:30:33,38.040758333333336,24.06613888888889,POS,-1.0,ADSB
2514.6,0,69800,2026-04-29 22:31:03,38.037508333333335,24.110327777777776,POS,-1.0,ADSB
2964.1800000000003,0,69800,2026-04-29 22:31:33,38.033408333333334,24.161088888888887,POS,-1.0,ADSB
3337.56,0,69800,2026-04-29 22:32:03,38.02880833333333,24.218249999999998,POS,-1.0,ADSB
3627.1200000000003,0,69800,2026-04-29 22:32:35,38.02437777777778,24.27925,POS,-1.0,ADSB
4206.24,0,69800,2026-04-29 22:33:05,38.01909722222222,24.346169444444445,POS,-1.0,ADSB
4770.12,0,69800,2026-04-29 22:33:35,38.012969444444444,24.412277777777778,POS,-1.0,ADSB
5173.9800000000005,0,69800,2026-04-29 22:33:55,38.000550000000004,24.460219444444444,POS,-1.0,ADSB
5928.360000000001,0,69800,2026-04-29 22:34:37,37.96055833333334,24.54775833333333,POS,-1.0,ADSB
6507.4800000000005,0,69800,2026-04-29 22:35:11,37.92652777777778,24.618388888888887,POS,-1.0,ADSB
7025.64,0,69800,2026-04-29 22:35:41,37.89374722222222,24.686397222222222,POS,-1.0,ADSB
7520.9400000000005,0,69800,2026-04-29 22:36:11,37.860277777777775,24.75607777777778,POS,-1.0,ADSB
7947.660000000001,0,69800,2026-04-29 22:36:41,37.82722777777777,24.824919444444447,POS,-1.0,ADSB
8366.76,0,69800,2026-04-29 22:37:11,37.792969444444445,24.896069444444446,POS,-1.0,ADSB
8763.0,0,69800,2026-04-29 22:37:41,37.75860833333333,24.96732777777778,POS,-1.0,ADSB
8839,0,67000,2026-04-29 22:37:43,37.75,24.985,POS,,ACARS
9105.9,0,67000,2026-04-29 22:38:13,37.72229722222222,25.0422,POS,-1.0,ADSB
