alt,dat,dep,des,dist,eta,etd,flyTime,ful,grs,important,lat,lon,name,time,tripfuel
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1477.896,15:05,05:10,595,56300,516,false,39.867777777777775,37.96805555555556,UTURI,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1555.68,15:05,05:10,595,55800,518,false,39.93388888888889,38.88388888888889,EZN,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1574.2,15:05,05:10,595,55700,518,false,39.934444444444445,39.10027777777778,INTAB,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1614.944,15:05,05:10,595,55500,519,false,39.935833333333335,39.56861111111111,ORHAN,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1644.576,15:05,05:10,595,55300,520,false,39.95027777777778,39.916666666666664,ARKIN,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1709.396,15:05,05:10,595,54900,520,false,39.95111111111111,40.6525,DAMAT,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1755.696,15:05,05:10,595,54600,520,false,39.95111111111111,41.20111111111111,ERZ,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1801.996,15:05,05:10,595,54300,522,false,39.98555555555556,41.735,ALVAR,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1861.26,15:05,05:10,595,54000,521,false,40.03527777777778,42.43333333333333,YAVUZ,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1903.856,15:05,05:10,595,53700,521,false,40.06805555555555,42.93388888888889,BIRZU,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1940.896,15:05,05:10,595,53500,522,false,40.1,43.367222222222225,ELTOX,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,1966.824,15:05,05:10,595,53300,522,false,40.1025,43.6525,INDUR,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2046.46,15:05,05:10,595,52800,523,false,40.235,44.56861111111111,REBGI,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2139.06,15:05,05:10,595,52300,524,false,40.38472222222222,45.63472222222222,PEMAN,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2272.404,15:05,05:10,595,51500,526,false,40.60111111111111,47.18333333333333,EDATA,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2296.48,15:05,05:10,595,51300,530,false,40.73444444444444,47.385555555555555,LIMTI,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2350.188,15:05,05:10,595,51000,529,false,41.05138888888889,47.884166666666665,BEKIR,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2359.448,15:05,05:10,595,51000,529,false,41.10166666666667,47.96888888888889,LEYLA,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2418.712,15:05,05:10,595,50600,528,false,41.41777777777778,48.550555555555555,OKTAT,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2437.232,15:05,05:10,595,50500,528,false,41.51833333333333,48.73416666666667,LEKBA,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2494.644,15:05,05:10,595,50200,527,false,41.801944444444445,49.30083333333334,ABTEK,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2613.172,15:05,05:10,595,49500,528,false,42.43388888888889,50.46722222222222,GASBI,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2653.916,15:05,05:10,595,48100,526,false,43.65138888888889,52.66861111111111,ARLIF,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2696.512,15:05,05:10,595,47900,523,false,43.88361111111111,53.10138888888889,RELGE,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2846.524,15:05,05:10,595,47000,524,false,44.651944444444446,54.63388888888889,TITIL,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2909.492,15:05,05:10,595,46600,523,false,45.08361111111111,55.16916666666667,MASAV,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,2931.716,15:05,05:10,595,45400,522,false,45.73416666666667,57.666666666666664,DIVNO,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3100.248,15:05,05:10,595,44500,516,false,46.218333333333334,59.7175,ABDUN,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3142.844,15:05,05:10,595,43100,513,false,46.818333333333335,62.5675,RITET,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3298.412,15:05,05:10,595,42200,510,false,47.185,64.53416666666666,ARKAM,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3335.452,15:05,05:10,595,42000,506,false,47.268055555555556,65.00083333333333,BAGED,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3400.272,15:05,05:10,595,41700,505,false,47.4025,65.835,TIROK,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3468.796,15:05,05:10,595,41300,505,false,47.55222222222222,66.71722222222222,ABURA,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3548.432,15:05,05:10,595,40800,499,false,47.7175,67.75194444444445,ALZIS,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3628.068,15:05,05:10,595,40300,496,false,47.81722222222222,68.81666666666666,AMASO,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3765.116,15:05,05:10,595,39500,494,false,47.76833333333333,70.63361111111111,DERAD,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3854.012,15:05,05:10,595,39000,495,false,47.719166666666666,71.81833333333333,UNABO,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,3879.94,15:05,05:10,595,36600,493,false,47.31666666666667,77.0513888888889,MADEV,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,4039.212,15:05,05:10,595,35700,494,false,47.184444444444445,79.13583333333334,RUDIZ,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,4092.92,15:05,05:10,595,35400,497,false,47.13388888888889,79.85222222222222,GOMAL,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,4179.964,15:05,05:10,595,34900,500,false,47.035,81.0025,BURID,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,4250.34,15:05,05:10,595,34500,519,false,46.95166666666667,81.91833333333334,GILAK,0,70953
11887,2026-04-19 00:00:00.0,LGAV,ZHEC,4324.42,15:05,05:10,595,34100,504,false,46.8525,82.88416666666667,SARIN,0,70953
10698,2026-04-19 00:00:00.0,LGAV,ZHEC,4367.016,15:05,05:10,595,33900,487,false,46.65138888888889,83.36694444444444,TCH,0,70953
10698,2026-04-19 00:00:00.0,LGAV,ZHEC,4441.096,15:05,05:10,595,33400,484,false,46.2525,84.13555555555556,OSUPO,0,70953
10698,2026-04-19 00:00:00.0,LGAV,ZHEC,4544.808,15:05,05:10,595,32800,481,false,45.685833333333335,85.2175,SALMO,0,70953
10698,2026-04-19 00:00:00.0,LGAV,ZHEC,4702.228,15:05,05:10,595,31800,483,false,44.833333333333336,86.8,OMKEN,0,70953
10698,2026-04-19 00:00:00.0,LGAV,ZHEC,4722.6,15:05,05:10,595,31700,481,false,44.7175,86.985,IKARA,0,70953
