alt,dis,fob,gateway_time,lat,lon,posPointName,sAlt,type
91,0,71900,2026-04-15 22:42:06,37.936,23.933,POS,,ACARS
327.66,0,71900,2026-04-15 22:42:23,37.94528888888889,23.941538888888886,POS,-1.0,ADSB
594.36,0,71900,2026-04-15 22:42:39,37.955527777777775,23.95138888888889,POS,-1.0,ADSB
800.1,0,71900,2026-04-15 22:42:57,37.964188888888884,23.95932777777778,POS,-1.0,ADSB
1013.46,0,71900,2026-04-15 22:43:13,37.974558333333334,23.96877777777778,POS,-1.0,ADSB
1135.38,0,71900,2026-04-15 22:43:29,37.985369444444444,23.978769444444445,POS,-1.0,ADSB
1249.68,0,71900,2026-04-15 22:43:45,37.99767777777778,23.98998888888889,POS,-1.0,ADSB
1562.1000000000001,0,71900,2026-04-15 22:44:13,38.024369444444446,24.013827777777777,POS,-1.0,ADSB
1783.0800000000002,0,71900,2026-04-15 22:44:35,38.04405,24.03147777777778,POS,-1.0,ADSB
2034.5400000000002,0,71900,2026-04-15 22:44:51,38.057827777777774,24.0548,POS,-1.0,ADSB
2270.76,0,71900,2026-04-15 22:45:09,38.0606,24.080358333333333,POS,-1.0,ADSB
2529.84,0,71900,2026-04-15 22:45:25,38.05365833333334,24.104658333333333,POS,-1.0,ADSB
2979.42,0,71900,2026-04-15 22:45:53,38.034019444444446,24.1412,POS,-1.0,ADSB
3352.8,0,71900,2026-04-15 22:46:21,38.01125,24.18305833333333,POS,-1.0,ADSB
3634.7400000000002,0,71900,2026-04-15 22:46:51,37.98540833333333,24.230697222222222,POS,-1.0,ADSB
3931.92,0,71900,2026-04-15 22:47:23,37.95771944444445,24.28363888888889,POS,-1.0,ADSB
3962.4,0,71900,2026-04-15 22:47:57,37.92768888888889,24.343019444444444,POS,-1.0,ADSB
3962.4,0,71900,2026-04-15 22:48:33,37.89541944444445,24.40664722222222,POS,-1.0,ADSB
3962.4,0,71900,2026-04-15 22:49:01,37.86758888888889,24.46123888888889,POS,-1.0,ADSB
3962.4,0,71900,2026-04-15 22:49:33,37.841147222222226,24.51252777777778,POS,-1.0,ADSB
4046.2200000000003,0,71900,2026-04-15 22:50:03,37.814119444444444,24.565369444444446,POS,-1.0,ADSB
4625.34,0,71900,2026-04-15 22:50:33,37.78835,24.621997222222223,POS,-1.0,ADSB
5181.6,0,71900,2026-04-15 22:51:01,37.76311944444445,24.680788888888888,POS,-1.0,ADSB
5692.14,0,71900,2026-04-15 22:51:31,37.73696944444444,24.741208333333336,POS,-1.0,ADSB
6187,0,69300,2026-04-15 22:51:58,37.707,24.811,POS,,ACARS
6164.58,0,69300,2026-04-15 22:52:03,37.70958888888889,24.805219444444443,POS,-1.0,ADSB
6644.64,0,69300,2026-04-15 22:52:33,37.68147777777778,24.871077777777778,POS,-1.0,ADSB
7178.04,0,69300,2026-04-15 22:53:03,37.65183888888889,24.94065833333333,POS,-1.0,ADSB
7589.52,0,69300,2026-04-15 22:53:33,37.62459722222222,25.00400833333333,POS,-1.0,ADSB
8031.4800000000005,0,69300,2026-04-15 22:54:05,37.59314722222222,25.076638888888887,POS,-1.0,ADSB
8252.460000000001,0,69300,2026-04-15 22:54:33,37.56365,25.144719444444444,POS,-1.0,ADSB
8663.94,0,69300,2026-04-15 22:55:05,37.53073888888889,25.220608333333335,POS,-1.0,ADSB
9090.66,0,69300,2026-04-15 22:55:35,37.49698888888889,25.298469444444446,POS,-1.0,ADSB
9425.94,0,69300,2026-04-15 22:56:09,37.46253888888889,25.377819444444444,POS,-1.0,ADSB
9822.18,0,69300,2026-04-15 22:56:37,37.428650000000005,25.455558333333332,POS,-1.0,ADSB
