alt,an,dis,fi,gateway_time,lat,lon,posPointName,sAlt,type
10668.0,B-2079,0,I99806,2026-04-20 05:05:59,36.919558333333335,26.406538888888885,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:06:29,36.89203888888889,26.488558333333334,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:06:59,36.86559722222222,26.56660833333333,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:07:27,36.83682777777778,26.65148888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:07:59,36.80978888888889,26.73107777777778,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:08:29,36.78161944444444,26.81365,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:08:59,36.75233888888889,26.899319444444444,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:09:29,36.725008333333335,26.979208333333332,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:10:01,36.69698888888889,27.06103888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:10:29,36.667827777777774,27.14583888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:11:01,36.63917777777778,27.228808333333337,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:11:29,36.61161944444444,27.30863888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:12:03,36.58851944444445,27.402358333333336,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:12:25,36.580438888888885,27.464219444444446,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:12:55,36.57701944444444,27.557919444444444,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:13:31,36.57384999999999,27.66575,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:14:01,36.571427777777785,27.75215,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:14:35,36.570788888888885,27.84615833333333,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:15:03,36.57567777777778,27.92878888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:15:33,36.58577777777777,28.0149,POS,-1.0,ADSB
10668,,0,,2026-04-20 05:15:54,36.592999999999996,28.068,POS,,ACARS
10668.0,B-2079,0,I99806,2026-04-20 05:16:07,36.59815833333333,28.1072,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:16:35,36.60904722222222,28.19108888888889,POS,-1.0,ADSB
10668.0,B-2079,0,I99806,2026-04-20 05:17:05,36.619988888888884,28.27185,POS,-1.0,ADSB
