alt,an,dis,fi,gateway_time,lat,lon,posPointName,sAlt,type
228.60000000000002,B-2079,0,I99806,2026-04-08 22:21:52,37.94318888888889,23.939508333333333,POS,-1.0,ADSB
121,,0,,2026-04-08 22:21:57,37.94,23.936,POS,,ACARS
441.96000000000004,B-2079,0,I99806,2026-04-08 22:22:08,37.95263888888889,23.948619444444443,POS,-1.0,ADSB
670.5600000000001,B-2079,0,I99806,2026-04-08 22:22:24,37.963988888888885,23.959138888888887,POS,-1.0,ADSB
868.6800000000001,B-2079,0,I99806,2026-04-08 22:22:40,37.974197222222216,23.96853888888889,POS,-1.0,ADSB
1082.04,B-2079,0,I99806,2026-04-08 22:22:58,37.98582777777778,23.979208333333332,POS,-1.0,ADSB
1196.3400000000001,B-2079,0,I99806,2026-04-08 22:23:14,37.99760833333334,23.989958333333334,POS,-1.0,ADSB
1295.4,B-2079,0,I99806,2026-04-08 22:23:30,38.01078888888889,24.002077777777778,POS,-1.0,ADSB
1668.78,B-2079,0,I99806,2026-04-08 22:24:00,38.03937777777778,24.028388888888887,POS,-1.0,ADSB
2179.32,B-2079,0,I99806,2026-04-08 22:24:30,38.06881944444444,24.055208333333333,POS,-1.0,ADSB
2514.6,B-2079,0,I99806,2026-04-08 22:24:50,38.08796944444445,24.07498888888889,POS,-1.0,ADSB
2811.78,B-2079,0,I99806,2026-04-08 22:25:06,38.09704722222222,24.10047777777778,POS,-1.0,ADSB
3009.9,B-2079,0,I99806,2026-04-08 22:25:24,38.09614722222222,24.13193888888889,POS,-1.0,ADSB
3230.88,B-2079,0,I99806,2026-04-08 22:25:44,38.08247777777778,24.167708333333334,POS,-1.0,ADSB
3520.44,B-2079,0,I99806,2026-04-08 22:26:20,38.0446,24.22484722222222,POS,-1.0,ADSB
4053.84,B-2079,0,I99806,2026-04-08 22:26:50,38.008069444444445,24.278727777777778,POS,-1.0,ADSB
4617.72,B-2079,0,I99806,2026-04-08 22:27:20,37.97186944444445,24.33274722222222,POS,-1.0,ADSB
5120.64,B-2079,0,I99806,2026-04-08 22:27:48,37.94006944444445,24.38462777777778,POS,-1.0,ADSB
5631.18,B-2079,0,I99806,2026-04-08 22:28:16,37.90832777777778,24.450308333333332,POS,-1.0,ADSB
6172.200000000001,B-2079,0,I99806,2026-04-08 22:28:46,37.877319444444446,24.52028888888889,POS,-1.0,ADSB
6659.88,B-2079,0,I99806,2026-04-08 22:29:18,37.845838888888885,24.591608333333333,POS,-1.0,ADSB
7002.780000000001,B-2079,0,I99806,2026-04-08 22:29:46,37.81435,24.66313888888889,POS,-1.0,ADSB
7246.620000000001,B-2079,0,I99806,2026-04-08 22:30:16,37.78146944444445,24.73708888888889,POS,-1.0,ADSB
7482.84,B-2079,0,I99806,2026-04-08 22:30:48,37.74956944444445,24.808588888888888,POS,-1.0,ADSB
7703.820000000001,B-2079,0,I99806,2026-04-08 22:31:16,37.717850000000006,24.881458333333335,POS,-1.0,ADSB
7985,,0,,2026-04-08 22:31:41,37.69,24.957,POS,,ACARS
8039.1,B-2079,0,I99806,2026-04-08 22:31:48,37.68667777777778,24.965727777777776,POS,-1.0,ADSB
8343.9,B-2079,0,I99806,2026-04-08 22:32:20,37.65685,25.048169444444447,POS,-1.0,ADSB
8702.04,B-2079,0,I99806,2026-04-08 22:32:50,37.627027777777776,25.13051944444444,POS,-1.0,ADSB
9044.94,B-2079,0,I99806,2026-04-08 22:33:18,37.596269444444445,25.21555,POS,-1.0,ADSB
9563.1,B-2079,0,I99806,2026-04-08 22:33:50,37.564119444444444,25.304138888888886,POS,-1.0,ADSB
10012.68,B-2079,0,I99806,2026-04-08 22:34:22,37.53409722222222,25.386947222222222,POS,-1.0,ADSB
10386.060000000001,B-2079,0,I99806,2026-04-08 22:34:52,37.50187777777778,25.47567777777778,POS,-1.0,ADSB
10805.16,B-2079,0,I99806,2026-04-08 22:35:22,37.47226944444445,25.557297222222225,POS,-1.0,ADSB
11056.62,B-2079,0,I99806,2026-04-08 22:35:52,37.44158888888889,25.641558333333332,POS,-1.0,ADSB
11224.26,B-2079,0,I99806,2026-04-08 22:36:22,37.41188888888889,25.721319444444443,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:36:52,37.377138888888894,25.80728888888889,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:37:26,37.341408333333334,25.891547222222226,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:37:56,37.30500833333333,25.974958333333333,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:38:28,37.26960833333333,26.055600000000002,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:38:56,37.23461944444445,26.134619444444446,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:39:28,37.199469444444446,26.213619444444443,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:39:58,37.16427777777778,26.29218888888889,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:40:28,37.128338888888884,26.37243888888889,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:41:02,37.084849999999996,26.468808333333335,POS,-1.0,ADSB
11277.6,B-2079,0,I99806,2026-04-08 22:41:34,37.05065,26.544638888888887,POS,-1.0,ADSB
11247,,0,,2026-04-08 22:41:41,37.038,26.573,POS,,ACARS
11277.6,B-2079,0,I99806,2026-04-08 22:42:04,37.01481944444445,26.624019444444446,POS,-1.0,ADSB
