alt,dat,dep,des,eta,etd,flyTime,ful,important,lat,lon,name,time,tripfuel
0,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,107759,false,30.342777777777776,115.02972222222222,ZHEC,1773887100000,107759
0,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,104700,false,30.433611111111112,115.26666666666667,XSH,0,107759
0,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,104200,false,30.5,115.36916666666667,EC451,0,107759
0,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,103500,false,30.433611111111112,115.26666666666667,XSH,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,101000,false,30.817222222222224,114.53444444444445,TOC,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,100900,false,30.8525,114.45166666666667,SAGUD,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,100700,false,30.918055555555554,114.35,HG,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,100500,false,31.01861111111111,114.15027777777777,REPUV,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,100000,false,31.351388888888888,114.31916666666666,VEXAN,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,99400,false,31.816666666666666,114.33527777777778,BENBI,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,98900,false,32.25111111111111,114.35138888888889,ESMEB,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,98800,false,32.30166666666667,114.35222222222222,P537,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,98500,false,32.583888888888886,114.38416666666667,P242,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,98500,false,32.60027777777778,114.38444444444444,P536,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,98400,false,32.63583333333333,114.38527777777777,TULRA,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,97600,false,33.28388888888889,114.45083333333334,IGMIG,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,97200,false,33.6025,114.48361111111112,VINIG,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,97100,false,33.701388888888886,114.48472222222222,P129,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,96900,false,33.8175,114.50083333333333,OBMEP,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,95700,false,34.51694444444445,113.835,CGO,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,95300,false,34.852222222222224,113.71888888888888,ISNAG,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,94500,false,35.43555555555555,113.4675,NOPIN,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,94300,false,35.60194444444444,113.38583333333334,TAMIX,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,94000,false,35.83555555555556,113.285,PADNO,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,93400,false,36.23444444444444,113.11666666666666,SQ,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,92300,false,37.05083333333334,112.85,ANPIG,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,91600,false,37.617777777777775,112.65194444444444,EXORI,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,91300,false,37.75,112.61694444444444,AGVUR,0,107759
7803,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,91000,false,37.86805555555556,112.58444444444444,EKETA,0,107759
9174,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,90100,false,38.451388888888886,112.45027777777777,NOMAX,0,107759
