name,dist,alt,ful,time,lat,lon
ZHEC,,0,107467,1773026700000,30.342777777777776,115.02972222222222
KGF,37.04,0,104200,0,30.15,114.75194444444445
D015P,66.672,0,103300,0,30.416944444444443,114.8025
SALUG,81.488,0,102800,0,30.550833333333333,114.83472222222223
VADBU,114.824,0,101700,0,30.835833333333333,114.90027777777777
TOC,150.012,7803,100700,0,31.151666666666667,114.78444444444445
PAVPA,159.272,7803,100600,0,31.233888888888888,114.75111111111111
ONUDU,175.94,7803,100400,0,31.3675,114.70083333333334
BENBI,235.204,7803,99600,0,31.816666666666666,114.33527777777778
ESMEB,283.356,7803,99100,0,32.25111111111111,114.35138888888889
P537,288.912,7803,99000,0,32.30166666666667,114.35222222222222
P242,320.396,7803,98700,0,32.583888888888886,114.38416666666667
P536,322.248,7803,98600,0,32.60027777777778,114.38444444444444
TULRA,327.804,7803,98600,0,32.63583333333333,114.38527777777777
IGMIG,398.18,7803,97800,0,33.28388888888889,114.45083333333334
VINIG,435.22,7803,97300,0,33.6025,114.48361111111112
P129,446.332,7803,97200,0,33.701388888888886,114.48472222222222
OBMEP,459.296,7803,97100,0,33.8175,114.50083333333333
CGO,557.452,7803,95800,0,34.51694444444445,113.835
ISNAG,596.344,7803,95400,0,34.852222222222224,113.71888888888888
NOPIN,664.868,7803,94500,0,35.43555555555555,113.4675
TAMIX,685.24,7803,94300,0,35.60194444444444,113.38583333333334
PADNO,713.02,7803,93900,0,35.83555555555556,113.285
SQ,759.32,7803,93400,0,36.23444444444444,113.11666666666666
ANPIG,851.92,7803,92300,0,37.05083333333334,112.85
EXORI,916.74,7803,91500,0,37.617777777777775,112.65194444444444
AGVUR,931.556,7803,91200,0,37.75,112.61694444444444
EKETA,946.372,7803,90900,0,37.86805555555556,112.58444444444444
NOMAX,1013.044,9174,90000,0,38.451388888888886,112.45027777777777
P252,1074.16,9174,89300,0,39.00111111111111,112.31722222222223
TODAM,1129.72,9174,88700,0,39.484722222222224,112.20027777777777
DUBUB,1185.28,9174,88100,0,39.98361111111111,112.06916666666666
ISBAM,1211.208,9174,87800,0,40.20166666666667,112.01833333333333
NUTLO,1231.58,9174,87500,0,40.38583333333333,111.96888888888888
BAXOD,1257.508,9174,87300,0,40.617777777777775,111.91888888888889
HET,1268.62,9174,87100,0,40.71805555555556,111.9
LAXAG,1440.856,9174,85300,0,42.20111111111111,111.30055555555556
NIXAL,1557.532,9174,84000,0,43.20194444444444,110.88333333333334
ENGUG,1648.28,9784,80800,0,44.9025,108.3525
MASMU,1809.404,9784,79000,0,45.86888888888889,106.81888888888889
ANGID,1905.708,9784,77900,0,46.43555555555555,105.88388888888889
LEDED,2076.092,9784,76000,0,47.41833333333334,104.16833333333334
BEGVO,2161.284,9784,75100,0,47.90138888888889,103.285
UBSUN,2309.444,9784,73400,0,48.733333333333334,101.70222222222222
BUTIV,2472.42,9784,71700,0,49.60194444444444,99.91666666666667
DARNO,2615.024,9784,70100,0,50.35111111111111,98.28527777777778
FIR,2616.876,9754,70100,0,50.36666666666667,98.25222222222222
KZL,2748.368,9754,66700,0,51.585,94.20166666666667
LOBIR,2779.852,9754,62600,0,53.23555555555556,88.95194444444445
NOSPI,2931.716,9754,61100,0,53.80166666666667,86.86861111111111
IDGAR,3040.984,9754,60100,0,54.285,85.4336111111111
VENAP,3128.028,9754,59200,0,54.666666666666664,84.25138888888888
ODIDA,3226.184,9754,58200,0,55.06861111111111,82.885
KD,3265.076,9754,57800,0,55.26916666666666,82.40083333333334
OGAMA,3348.416,9754,57000,0,55.466944444444444,81.13361111111111
OSNAB,3428.052,9754,56100,0,55.63361111111111,79.88583333333334
KZ,3552.136,9754,54900,0,56.33416666666667,78.35111111111111
ROBLA,3616.956,9754,54200,0,56.550555555555555,77.38555555555556
MAGAR,3672.516,9754,51800,0,57.28333333333333,73.65194444444444
UNKIS,3829.936,9754,50200,0,57.7,71.1525
TIFAS,3957.724,9754,49000,0,58.01777777777778,69.10166666666667
NH,4009.58,9754,48500,0,58.13472222222222,68.26833333333333
MOLEG,4046.62,9754,48100,0,58.219166666666666,67.65194444444444
UGLIT,4129.96,9754,47300,0,58.4175,66.26805555555555
