name,dist,alt,ful,time,lat,lon
ZHEC,,0,106927,1776708300000,30.342777777777776,115.02972222222222
XSH,31.484,0,103900,0,30.433611111111112,115.26666666666667
EC451,44.448,0,103400,0,30.5,115.36916666666667
XSH,64.82,0,102800,0,30.433611111111112,115.26666666666667
SAGUD,155.568,0,100300,0,30.8525,114.45166666666667
HG,168.532,7803,99900,0,30.918055555555554,114.35
REPUV,190.756,7803,99600,0,31.01861111111111,114.15027777777777
VEXAN,231.5,7803,99200,0,31.351388888888888,114.31916666666666
BENBI,281.504,7803,98700,0,31.816666666666666,114.33527777777778
ESMEB,329.656,7803,98100,0,32.25111111111111,114.35138888888889
P537,335.212,7803,98100,0,32.30166666666667,114.35222222222222
P242,366.696,7803,97700,0,32.583888888888886,114.38416666666667
P536,368.548,7803,97700,0,32.60027777777778,114.38444444444444
TULRA,374.104,7803,97600,0,32.63583333333333,114.38527777777777
IGMIG,444.48,7803,96900,0,33.28388888888889,114.45083333333334
VINIG,481.52,7803,96500,0,33.6025,114.48361111111112
P129,492.632,7803,96400,0,33.701388888888886,114.48472222222222
OBMEP,505.596,7803,96200,0,33.8175,114.50083333333333
CGO,603.752,7803,95100,0,34.51694444444445,113.835
ISNAG,642.644,7803,94700,0,34.852222222222224,113.71888888888888
NOPIN,711.168,7803,93900,0,35.43555555555555,113.4675
TAMIX,731.54,7803,93700,0,35.60194444444444,113.38583333333334
PADNO,759.32,7803,93400,0,35.83555555555556,113.285
SQ,805.62,7803,92900,0,36.23444444444444,113.11666666666666
ANPIG,898.22,7803,91800,0,37.05083333333334,112.85
EXORI,963.04,7803,91100,0,37.617777777777775,112.65194444444444
AGVUR,977.856,7803,90800,0,37.75,112.61694444444444
EKETA,992.672,7803,90500,0,37.86805555555556,112.58444444444444
NOMAX,1059.344,9174,89600,0,38.451388888888886,112.45027777777777
P252,1120.46,9174,88900,0,39.00111111111111,112.31722222222223
TODAM,1176.02,9174,88300,0,39.484722222222224,112.20027777777777
DUBUB,1231.58,9174,87700,0,39.98361111111111,112.06916666666666
ISBAM,1257.508,9174,87400,0,40.20166666666667,112.01833333333333
NUTLO,1277.88,9174,87200,0,40.38583333333333,111.96888888888888
BAXOD,1303.808,9174,86900,0,40.617777777777775,111.91888888888889
HET,1314.92,9174,86800,0,40.71805555555556,111.9
LAXAG,1487.156,9174,84800,0,42.20111111111111,111.30055555555556
NIXAL,1603.832,9174,83500,0,43.20194444444444,110.88333333333334
ENGUG,1694.58,9174,80100,0,44.9025,108.3525
MASMU,1855.704,9174,78200,0,45.86888888888889,106.81888888888889
ANGID,1952.008,9174,77000,0,46.43555555555555,105.88388888888889
LEDED,2122.392,9174,75000,0,47.41833333333334,104.16833333333334
BEGVO,2207.584,9174,74000,0,47.90138888888889,103.285
UBSUN,2355.744,9174,72300,0,48.733333333333334,101.70222222222222
BUTIV,2518.72,9174,70400,0,49.60194444444444,99.91666666666667
DARNO,2661.324,9784,68600,0,50.35111111111111,98.28527777777778
FIR,2663.176,9754,68600,0,50.36666666666667,98.25222222222222
KZL,2794.668,9754,65099,0,51.585,94.20166666666667
LOBIR,2826.152,9754,60600,0,53.23555555555556,88.95194444444445
NOSPI,2978.016,9754,59000,0,53.80166666666667,86.86861111111111
IDGAR,3087.284,9754,57800,0,54.285,85.4336111111111
VENAP,3174.328,9754,56800,0,54.666666666666664,84.25138888888888
ODIDA,3272.484,9754,55800,0,55.06861111111111,82.885
KD,3311.376,9754,55300,0,55.26916666666666,82.40083333333334
OGAMA,3394.716,9754,54400,0,55.466944444444444,81.13361111111111
OSNAB,3474.352,9754,53600,0,55.63361111111111,79.88583333333334
KZ,3598.436,9754,52200,0,56.33416666666667,78.35111111111111
ROBLA,3663.256,9754,51600,0,56.550555555555555,77.38555555555556
MAGAR,3718.816,9754,49000,0,57.28333333333333,73.65194444444444
UNKIS,3876.236,9754,47400,0,57.7,71.1525
TIFAS,4004.024,9754,46100,0,58.01777777777778,69.10166666666667
NH,4055.88,9754,45600,0,58.13472222222222,68.26833333333333
MOLEG,4092.92,9754,45200,0,58.219166666666666,67.65194444444444
UGLIT,4176.26,9754,44300,0,58.4175,66.26805555555555
MAPUN,4265.156,9754,43400,0,58.600833333333334,64.78527777777778
UTORA,4322.568,9754,42800,0,58.702222222222225,63.835
