alt,des,dis,eventTime,eventType,fob,gateway_time,lat,lon,posPointName,sAlt,tko,type
0,ZHEC,0,2026-03-17 16:22:29,OUT,0,2026-03-17 16:22:29,50.90138888888889,4.484444444444445,OUT,,EBBR,ACARS
0,ZHEC,0,2026-03-17 16:42:35,OFF,0,2026-03-17 16:42:35,50.90138888888889,4.484444444444445,OFF,,EBBR,ACARS
60,,0,,,91100,2026-03-17 16:42:38,50.903999999999996,4.473,POS,,,ACARS
53.34,,0,,,91100,2026-03-17 16:42:46,50.90304722222222,4.469947222222222,POS,-1.0,,ADSB
777.24,,0,,,91100,2026-03-17 16:43:30,50.9004,4.416727777777778,POS,-1.0,,ADSB
967.74,,0,,,91100,2026-03-17 16:43:44,50.912058333333334,4.402847222222222,POS,-1.0,,ADSB
1089.66,,0,,,91100,2026-03-17 16:44:00,50.92615833333333,4.391338888888889,POS,-1.0,,ADSB
1203.96,,0,,,91100,2026-03-17 16:44:16,50.93979722222222,4.380277777777778,POS,-1.0,,ADSB
1333.5,,0,,,91100,2026-03-17 16:44:34,50.954819444444446,4.367219444444444,POS,-1.0,,ADSB
1470.66,,0,,,91100,2026-03-17 16:44:48,50.97143888888888,4.352738888888889,POS,-1.0,,ADSB
1661.16,,0,,,91100,2026-03-17 16:45:12,50.99406944444444,4.332197222222222,POS,-1.0,,ADSB
1882.14,,0,,,91100,2026-03-17 16:45:32,51.016619444444444,4.312727777777778,POS,-1.0,,ADSB
2407.92,,0,,,91100,2026-03-17 16:46:02,51.04810833333333,4.286819444444444,POS,-1.0,,ADSB
2880.36,,0,,,91100,2026-03-17 16:46:34,51.081208333333336,4.258908333333333,POS,-1.0,,ADSB
3345.1800000000003,,0,,,91100,2026-03-17 16:47:18,51.1349,4.211919444444445,POS,-1.0,,ADSB
3474.7200000000003,,0,,,91100,2026-03-17 16:47:40,51.16369722222222,4.185097222222223,POS,-1.0,,ADSB
3916.6800000000003,,0,,,91100,2026-03-17 16:48:16,51.211088888888895,4.130938888888888,POS,-1.0,,ADSB
4175.76,,0,,,91100,2026-03-17 16:48:36,51.23925833333333,4.105908333333334,POS,-1.0,,ADSB
4389.12,,0,,,91100,2026-03-17 16:48:50,51.26235,4.096977777777778,POS,-1.0,,ADSB
4663.4400000000005,,0,,,91100,2026-03-17 16:49:12,51.29772777777778,4.100127777777778,POS,-1.0,,ADSB
5097.780000000001,,0,,,91100,2026-03-17 16:49:42,51.350608333333334,4.116738888888889,POS,-1.0,,ADSB
5471.16,,0,,,91100,2026-03-17 16:50:12,51.40441944444444,4.134447222222223,POS,-1.0,,ADSB
5852.16,,0,,,91100,2026-03-17 16:50:42,51.45627777777778,4.151377777777777,POS,-1.0,,ADSB
6202.68,,0,,,91100,2026-03-17 16:51:12,51.51181944444444,4.169158333333333,POS,-1.0,,ADSB
6431.280000000001,,0,,,91100,2026-03-17 16:51:42,51.56525833333333,4.18625,POS,-1.0,,ADSB
6751.320000000001,,0,,,91100,2026-03-17 16:52:12,51.622658333333334,4.204938888888889,POS,-1.0,,ADSB
7040,,0,,,88100,2026-03-17 16:52:34,51.682,4.224,POS,,,ACARS
7056.120000000001,,0,,,88100,2026-03-17 16:52:42,51.6808,4.223708333333334,POS,-1.0,,ADSB
7216.14,,0,,,88100,2026-03-17 16:52:58,51.715158333333335,4.235527777777778,POS,-1.0,,ADSB
7376.160000000001,,0,,,88100,2026-03-17 16:53:14,51.747569444444444,4.251408333333333,POS,-1.0,,ADSB
7566.660000000001,,0,,,88100,2026-03-17 16:53:32,51.78400833333333,4.275388888888889,POS,-1.0,,ADSB
7886.700000000001,,0,,,88100,2026-03-17 16:54:08,51.851088888888896,4.325638888888888,POS,-1.0,,ADSB
8161.02,,0,,,88100,2026-03-17 16:54:40,51.90560833333333,4.366908333333334,POS,-1.0,,ADSB
8313.42,,0,,,88100,2026-03-17 16:54:56,51.93955833333334,4.393158333333334,POS,-1.0,,ADSB
8473.44,,0,,,88100,2026-03-17 16:55:14,51.97118888888889,4.426188888888889,POS,-1.0,,ADSB
8625.84,,0,,,88100,2026-03-17 16:55:30,51.99828888888889,4.466627777777778,POS,-1.0,,ADSB
8763.0,,0,,,88100,2026-03-17 16:55:48,52.021319444444444,4.515688888888889,POS,-1.0,,ADSB
8961.12,,0,,,88100,2026-03-17 16:56:18,52.058619444444446,4.608138888888889,POS,-1.0,,ADSB
9182.1,,0,,,88100,2026-03-17 16:56:50,52.09488888888889,4.6997888888888895,POS,-1.0,,ADSB
9479.28,,0,,,88100,2026-03-17 16:57:18,52.13090833333333,4.791258333333333,POS,-1.0,,ADSB
9814.560000000001,,0,,,88100,2026-03-17 16:57:48,52.16768888888889,4.884600000000001,POS,-1.0,,ADSB
10043.16,,0,,,88100,2026-03-17 16:58:18,52.205169444444444,4.979627777777778,POS,-1.0,,ADSB
10058.4,,0,,,88100,2026-03-17 16:58:50,52.24053888888889,5.069658333333334,POS,-1.0,,ADSB
10058.4,,0,,,88100,2026-03-17 16:59:18,52.27462777777778,5.156747222222222,POS,-1.0,,ADSB
10058.4,,0,,,88100,2026-03-17 16:59:48,52.3109,5.249858333333334,POS,-1.0,,ADSB
10058.4,,0,,,88100,2026-03-17 17:00:18,52.3477,5.344769444444444,POS,-1.0,,ADSB
10058.4,,0,,,88100,2026-03-17 17:00:50,52.383269444444444,5.436708333333334,POS,-1.0,,ADSB
10058.4,,0,,,88100,2026-03-17 17:01:20,52.418419444444446,5.527927777777778,POS,-1.0,,ADSB
10058.4,,0,,,88100,2026-03-17 17:01:40,52.444538888888886,5.595958333333334,POS,-1.0,,ADSB
10058.4,,0,,,88100,2026-03-17 17:02:10,52.47926944444444,5.686677777777778,POS,-1.0,,ADSB
10027,,0,,,85800,2026-03-17 17:02:34,52.515,5.781,POS,,,ACARS
10058.4,,0,2026-03-17 17:02:42,ORT,85800,2026-03-17 17:02:42,52.515150000000006,5.7809388888888895,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:03:10,52.549188888888885,5.870469444444444,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:03:42,52.58417777777778,5.963058333333333,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:04:12,52.61865,6.054327777777778,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:04:40,52.65229722222222,6.144027777777778,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:05:12,52.68708888888889,6.2368,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:05:42,52.72170833333333,6.32968888888889,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:06:11,52.75593888888889,6.421658333333333,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:06:41,52.79044722222222,6.514819444444444,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:07:11,52.82454722222222,6.607277777777778,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:07:41,52.85936944444445,6.702288888888889,POS,-1.0,,ADSB
10058.4,,0,2026-03-17 17:08:11,ORT,85800,2026-03-17 17:08:11,52.89334722222222,6.794969444444444,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:08:41,52.92788888888889,6.889597222222222,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:09:11,52.96238888888889,6.9844,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:09:43,52.99687777777778,7.079669444444445,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:10:11,53.02999722222222,7.171550000000001,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:10:41,53.06405833333333,7.266358333333333,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:11:11,53.09806944444444,7.361308333333333,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:11:43,53.13106944444445,7.453747222222223,POS,-1.0,,ADSB
10058.4,,0,,,85800,2026-03-17 17:12:11,53.165177777777785,7.549647222222222,POS,-1.0,,ADSB
10027,,0,,,84600,2026-03-17 17:12:34,53.199,7.645,POS,,,ACARS
10058.4,,0,,,84600,2026-03-17 17:12:41,53.197900000000004,7.642119444444445,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:13:11,53.23113888888889,7.736338888888889,POS,-1.0,,ADSB
10058.4,,0,2026-03-17 17:13:43,ORT,84600,2026-03-17 17:13:43,53.263577777777776,7.828569444444444,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:14:11,53.29732777777778,7.924988888888889,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:14:41,53.329547222222224,8.0176,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:15:11,53.36333888888888,8.114969444444444,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:15:41,53.39496944444445,8.20655,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:16:11,53.42838888888889,8.303469444444445,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:16:41,53.46010833333334,8.39575,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:17:13,53.491288888888896,8.486699999999999,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:17:41,53.523697222222225,8.581727777777779,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:18:11,53.55582777777778,8.676527777777778,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:18:41,53.58815,8.772027777777778,POS,-1.0,,ADSB
10058.4,,0,2026-03-17 17:19:11,ORT,84600,2026-03-17 17:19:11,53.619658333333334,8.865558333333333,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:19:41,53.651919444444445,8.961627777777778,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:20:11,53.68281944444444,9.054147222222221,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:20:43,53.71499722222222,9.150827777777778,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:21:11,53.74706944444445,9.247577777777778,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:21:41,53.77835833333333,9.342177777777778,POS,-1.0,,ADSB
10058.4,,0,,,84600,2026-03-17 17:22:11,53.809958333333334,9.438227777777778,POS,-1.0,,ADSB
10058,,0,,,83400,2026-03-17 17:22:34,53.841,9.533000000000001,POS,,,ACARS
10058.4,,0,,,83400,2026-03-17 17:22:41,53.84028888888889,9.5308,POS,-1.0,,ADSB
