name,dist,alt,ful,time,lat,lon
EBBR,,0,80898,1773337200000,50.90138888888889,4.484444444444445
BR018,25.928,0,78100,0,50.967777777777776,4.318611111111111
NIK,50.004,0,77300,0,51.1525,4.183333333333334
PEVAD,64.82,0,76900,0,51.268055555555556,4.050833333333333
VICOT,87.044,0,76200,0,51.469166666666666,4.05
TOC,96.304,8839,76000,0,51.55166666666667,4.101666666666667
DOFMU,118.528,8839,75800,0,51.734722222222224,4.235
EKROS,179.644,8839,75300,0,52.23388888888889,4.617222222222222
SPY,216.684,8839,75000,0,52.534444444444446,4.850555555555555
EEL,357.436,8839,74000,0,53.1525,6.666666666666667
FIR,387.068,8839,73800,0,53.35166666666667,6.968333333333334
WANZA,522.264,8839,72800,0,54.218333333333334,8.4
ALASA,642.644,8839,72000,0,54.80138888888889,9.951944444444445
FIR,822.288,8839,70700,0,55.33444444444444,12.634444444444444
NINTA,1005.636,8839,68000,0,56.21861111111111,18.28361111111111
ADAXA,1044.528,8839,67700,0,56.285833333333336,18.885833333333334
DESON,1159.352,9449,66800,0,56.88527777777778,20.41722222222222
RUDNI,1292.696,9449,65800,0,57.40083333333333,22.401944444444446
FIR,1344.552,9449,65400,0,57.58416666666667,23.234444444444446
FIR,1364.924,9449,65300,0,57.65083333333333,23.535555555555554
NEVTO,1385.296,9449,65099,0,57.71722222222222,23.850833333333334
FIR,1418.632,9449,64900,0,57.86888888888889,24.335
FIR,1429.744,9449,64800,0,57.93361111111111,24.5025
FIR,1435.3,9449,64800,0,57.95194444444444,24.585277777777776
TUKMA,1609.388,9449,63600,0,58.73416666666667,27.134722222222223
MEGAS,1624.204,9449,63500,0,58.8,27.383333333333333
POTKE,1714.952,11278,62600,0,59.15027777777778,28.801666666666666
BESNO,1861.26,11278,61700,0,59.66916666666667,31.15138888888889
ORSUR,1911.264,11278,61400,0,59.76888888888889,32.00138888888889
KERIS,1929.784,11887,61200,0,59.8025,32.33416666666667
LEDBA,2102.02,11887,60200,0,59.734722222222224,35.38361111111111
ZOVKI,2172.396,11887,59700,0,59.68416666666667,36.634166666666665
SIZAV,2244.624,11887,59300,0,59.617777777777775,37.9
DOKOD,2355.744,11887,58600,0,59.48583333333333,39.835
OMOBU,2402.044,11887,58300,0,59.4525,40.66722222222222
TUNOB,2496.496,11887,57700,0,59.38333333333333,42.31861111111111
BALOB,2602.06,11887,57000,0,59.25194444444445,44.15111111111111
DIBAB,2666.88,11887,56600,0,59.18333333333333,45.268055555555556
AGNOG,2796.52,11887,55800,0,58.918055555555554,47.46666666666667
OLNUP,2853.932,11887,55500,0,58.81722222222222,48.45
OGIDA,2876.156,11887,55300,0,58.76833333333333,48.83361111111111
OKTIP,2900.232,11887,55200,0,58.71861111111111,49.235277777777775
DIKIN,2974.312,11887,54700,0,58.56805555555555,50.5
UNANI,3042.836,11887,54300,0,58.41694444444445,51.63388888888889
IBZON,3072.468,11887,54100,0,58.36694444444444,52.11694444444444
OBETU,3183.588,11887,53400,0,58.15111111111111,53.967777777777776
SUMOM,3231.74,11887,53100,0,58.05083333333334,54.78333333333333
IPRAT,3261.372,11887,53000,0,58.01694444444445,55.284166666666664
GANPO,3296.56,11887,52700,0,57.96805555555556,55.86805555555556
ULPAS,3424.348,11887,52000,0,57.785,58.00138888888889
ODMUR,3444.72,11887,51800,0,57.751666666666665,58.335
ABDIR,3581.768,11887,51000,0,57.5175,60.60111111111111
ORTOD,3642.884,11887,50600,0,57.48444444444444,61.618611111111115
ATMEB,3678.072,11887,50400,0,57.466944444444444,62.20111111111111
GIBUL,3772.524,11887,49800,0,57.385555555555555,63.751666666666665
GINPA,3818.824,11887,49600,0,57.284166666666664,64.51694444444445
